Time Stamp,Sensor Value
2025-03-15T15:40:21.965103+05:30,Sensor Value: 114
2025-03-15T15:40:23.960060+05:30,Sensor Value: 116
2025-03-15T15:40:25.965075+05:30,Sensor Value: 115
2025-03-15T15:40:27.963358+05:30,Sensor Value: 112
2025-03-15T15:40:29.968072+05:30,Sensor Value: 116
2025-03-15T15:40:31.964452+05:30,Sensor Value: 116
2025-03-15T15:40:33.969169+05:30,Sensor Value: 115
2025-03-15T15:40:35.965469+05:30,Sensor Value: 106
2025-03-15T15:40:37.974678+05:30,Sensor Value: 106
2025-03-15T15:40:39.970096+05:30,Sensor Value: 113
2025-03-15T15:40:41.970534+05:30,Sensor Value: 115
2025-03-15T15:40:43.979537+05:30,Sensor Value: 109
2025-03-15T15:40:45.982620+05:30,Sensor Value: 110
2025-03-15T15:40:47.978212+05:30,Sensor Value: 109
2025-03-15T15:40:49.976830+05:30,Sensor Value: 104
2025-03-15T15:40:51.981632+05:30,Sensor Value: 111
2025-03-15T15:40:53.984192+05:30,Sensor Value: 101
2025-03-15T15:40:55.982371+05:30,Sensor Value: 102
2025-03-15T15:40:57.990051+05:30,Sensor Value: 93
2025-03-15T15:40:59.986640+05:30,Sensor Value: 98
2025-03-15T15:41:01.994631+05:30,Sensor Value: 100
2025-03-15T15:41:03.991936+05:30,Sensor Value: 102
2025-03-15T15:41:05.993281+05:30,Sensor Value: 103
2025-03-15T15:41:07.990491+05:30,Sensor Value: 101
2025-03-15T15:41:09.992839+05:30,Sensor Value: 101
2025-03-15T15:41:11.994997+05:30,Sensor Value: 108
2025-03-15T15:41:13.999911+05:30,Sensor Value: 111
2025-03-15T15:41:15.999211+05:30,Sensor Value: 108
2025-03-15T15:41:18.000265+05:30,Sensor Value: 113
2025-03-15T15:41:19.999395+05:30,Sensor Value: 113
2025-03-15T15:41:22.002882+05:30,Sensor Value: 114
2025-03-15T15:41:24.005268+05:30,Sensor Value: 112
2025-03-15T15:41:26.007948+05:30,Sensor Value: 101
2025-03-15T15:41:28.015073+05:30,Sensor Value: 103
2025-03-15T15:41:30.008517+05:30,Sensor Value: 112
2025-03-15T15:41:32.011412+05:30,Sensor Value: 111
2025-03-15T15:41:34.011441+05:30,Sensor Value: 111
2025-03-15T15:41:36.014703+05:30,Sensor Value: 95
2025-03-15T15:41:38.020911+05:30,Sensor Value: 97
2025-03-15T15:41:40.015207+05:30,Sensor Value: 101
2025-03-15T15:41:42.016885+05:30,Sensor Value: 102
2025-03-15T15:41:44.023606+05:30,Sensor Value: 101
2025-03-15T15:41:46.028142+05:30,Sensor Value: 104
2025-03-15T15:41:48.020866+05:30,Sensor Value: 102
2025-03-15T15:41:50.029010+05:30,Sensor Value: 102
2025-03-15T15:41:52.024133+05:30,Sensor Value: 101
2025-03-15T15:41:54.027546+05:30,Sensor Value: 101
2025-03-15T15:41:56.032266+05:30,Sensor Value: 100
2025-03-15T15:41:58.027157+05:30,Sensor Value: 101
2025-03-15T15:42:00.029666+05:30,Sensor Value: 102
2025-03-15T15:42:02.032485+05:30,Sensor Value: 101
2025-03-15T15:42:04.036859+05:30,Sensor Value: 101
2025-03-15T15:42:06.041626+05:30,Sensor Value: 99
2025-03-15T15:42:08.040360+05:30,Sensor Value: 98
2025-03-15T15:42:10.036843+05:30,Sensor Value: 98
2025-03-15T15:42:12.039022+05:30,Sensor Value: 97
2025-03-15T15:42:14.042669+05:30,Sensor Value: 97
2025-03-15T15:42:16.041591+05:30,Sensor Value: 95
2025-03-15T15:42:18.043339+05:30,Sensor Value: 93
2025-03-15T15:42:20.044421+05:30,Sensor Value: 92
2025-03-15T15:42:22.045511+05:30,Sensor Value: 91
2025-03-15T15:42:24.056590+05:30,Sensor Value: 95
2025-03-15T15:42:26.053338+05:30,Sensor Value: 94
2025-03-15T15:42:28.048391+05:30,Sensor Value: 97
2025-03-15T15:42:30.055102+05:30,Sensor Value: 90
2025-03-15T15:42:32.055178+05:30,Sensor Value: 96
2025-03-15T15:42:34.054998+05:30,Sensor Value: 95
2025-03-15T15:42:36.058160+05:30,Sensor Value: 96
2025-03-15T15:42:38.066199+05:30,Sensor Value: 97
2025-03-15T15:42:40.064063+05:30,Sensor Value: 97
2025-03-15T15:42:42.062375+05:30,Sensor Value: 95
2025-03-15T15:42:44.066381+05:30,Sensor Value: 98
2025-03-15T15:42:46.068056+05:30,Sensor Value: 98
2025-03-15T15:42:48.068631+05:30,Sensor Value: 100
2025-03-15T15:42:50.069669+05:30,Sensor Value: 100
2025-03-15T15:42:52.076356+05:30,Sensor Value: 103
2025-03-15T15:42:54.077306+05:30,Sensor Value: 97
2025-03-15T15:42:56.071067+05:30,Sensor Value: 97
2025-03-15T15:42:58.071809+05:30,Sensor Value: 92
2025-03-15T15:43:00.075028+05:30,Sensor Value: 130
2025-03-15T15:43:02.077803+05:30,Sensor Value: 138
2025-03-15T15:43:04.080922+05:30,Sensor Value: 140
2025-03-15T15:43:06.081550+05:30,Sensor Value: 104
2025-03-15T15:43:08.080629+05:30,Sensor Value: 108
2025-03-15T15:43:10.081162+05:30,Sensor Value: 122
2025-03-15T15:43:12.086938+05:30,Sensor Value: 123
2025-03-15T15:43:14.091791+05:30,Sensor Value: 118
2025-03-15T15:43:16.089053+05:30,Sensor Value: 130
2025-03-15T15:43:18.089420+05:30,Sensor Value: 130
2025-03-15T15:43:20.090653+05:30,Sensor Value: 131
2025-03-15T15:43:22.095048+05:30,Sensor Value: 121
2025-03-15T15:43:24.102235+05:30,Sensor Value: 125
2025-03-15T15:43:26.093418+05:30,Sensor Value: 125
2025-03-15T15:43:28.096717+05:30,Sensor Value: 131
2025-03-15T15:43:30.101558+05:30,Sensor Value: 125
2025-03-15T15:43:32.106418+05:30,Sensor Value: 126
2025-03-15T15:43:34.101223+05:30,Sensor Value: 125
2025-03-15T15:43:36.101481+05:30,Sensor Value: 115
2025-03-15T15:43:38.109536+05:30,Sensor Value: 131
