Date,Time,Filename,Visibility (%),Avg Dark Value
13-03-2025,07:25:02,image_20250313_072502.jpg,72.11,71.11
13-03-2025,07:25:08,image_20250313_072508.jpg,72.23,70.82
13-03-2025,07:25:14,image_20250313_072514.jpg,72.16,70.99
13-03-2025,07:25:20,image_20250313_072520.jpg,72.33,70.56
13-03-2025,07:25:26,image_20250313_072526.jpg,72,71.39
13-03-2025,07:25:32,image_20250313_072532.jpg,71.99,71.43
13-03-2025,07:25:38,image_20250313_072538.jpg,58.6,105.56
13-03-2025,07:25:45,image_20250313_072545.jpg,71.98,71.45
13-03-2025,07:25:51,image_20250313_072551.jpg,72.01,71.37
13-03-2025,07:25:56,image_20250313_072556.jpg,72.06,71.24
13-03-2025,07:26:02,image_20250313_072602.jpg,72.29,70.65
13-03-2025,07:26:08,image_20250313_072608.jpg,72.23,70.82
13-03-2025,07:26:14,image_20250313_072614.jpg,72.24,70.8
13-03-2025,07:26:20,image_20250313_072620.jpg,72.04,71.29
13-03-2025,07:26:26,image_20250313_072626.jpg,72.35,70.52
13-03-2025,07:26:31,image_20250313_072631.jpg,72.24,70.79
13-03-2025,07:26:37,image_20250313_072637.jpg,72.32,70.57
13-03-2025,07:26:43,image_20250313_072643.jpg,72.07,71.22
13-03-2025,07:26:49,image_20250313_072649.jpg,72.04,71.31
13-03-2025,07:26:54,image_20250313_072654.jpg,71.97,71.47
13-03-2025,07:27:00,image_20250313_072700.jpg,71.87,71.72
13-03-2025,07:27:06,image_20250313_072706.jpg,71.76,72.02
13-03-2025,07:27:12,image_20250313_072712.jpg,71.76,72
13-03-2025,07:27:18,image_20250313_072718.jpg,71.78,71.96
13-03-2025,07:27:23,image_20250313_072723.jpg,71.88,71.7
13-03-2025,07:27:29,image_20250313_072729.jpg,71.9,71.66
13-03-2025,07:27:35,image_20250313_072735.jpg,72.09,71.16
13-03-2025,07:27:41,image_20250313_072741.jpg,71.97,71.49
13-03-2025,07:27:46,image_20250313_072746.jpg,71.92,71.59
13-03-2025,07:27:52,image_20250313_072752.jpg,72.01,71.38
13-03-2025,07:27:58,image_20250313_072758.jpg,71.97,71.47
13-03-2025,07:28:04,image_20250313_072804.jpg,72.03,71.32
13-03-2025,07:28:10,image_20250313_072810.jpg,71.98,71.46
13-03-2025,07:28:16,image_20250313_072816.jpg,64.87,89.58
13-03-2025,07:28:22,image_20250313_072822.jpg,54.24,116.69
13-03-2025,07:28:29,image_20250313_072829.jpg,71.99,71.44
13-03-2025,07:28:35,image_20250313_072835.jpg,60.43,100.89
13-03-2025,07:28:42,image_20250313_072842.jpg,71,73.94
13-03-2025,07:28:48,image_20250313_072848.jpg,67.6,82.63
13-03-2025,07:28:55,image_20250313_072855.jpg,70.93,74.12
13-03-2025,07:29:01,image_20250313_072901.jpg,71.16,73.54
13-03-2025,07:29:07,image_20250313_072907.jpg,68.04,81.51
13-03-2025,07:29:13,image_20250313_072913.jpg,71.04,73.84
13-03-2025,07:29:19,image_20250313_072919.jpg,71.1,73.69
13-03-2025,07:29:25,image_20250313_072925.jpg,71.1,73.7
13-03-2025,07:29:31,image_20250313_072931.jpg,71.08,73.75
13-03-2025,07:29:37,image_20250313_072937.jpg,71.03,73.88
13-03-2025,07:29:43,image_20250313_072943.jpg,71.06,73.81
13-03-2025,07:29:49,image_20250313_072949.jpg,71.12,73.63
13-03-2025,07:29:55,image_20250313_072955.jpg,71.11,73.68
13-03-2025,07:30:00,image_20250313_073000.jpg,71.13,73.61
13-03-2025,07:30:06,image_20250313_073006.jpg,71.07,73.77
13-03-2025,07:30:12,image_20250313_073012.jpg,71.01,73.91
13-03-2025,07:30:18,image_20250313_073018.jpg,71.01,73.92
13-03-2025,07:30:24,image_20250313_073024.jpg,71.1,73.71
13-03-2025,07:30:29,image_20250313_073029.jpg,70.89,74.24
13-03-2025,07:30:36,image_20250313_073036.jpg,70.97,74.03
13-03-2025,07:30:42,image_20250313_073042.jpg,71.06,73.81
13-03-2025,07:30:48,image_20250313_073048.jpg,71.06,73.8
13-03-2025,07:30:54,image_20250313_073054.jpg,71.1,73.7
13-03-2025,07:30:59,image_20250313_073059.jpg,71.19,73.47
13-03-2025,07:31:05,image_20250313_073105.jpg,71.31,73.16
13-03-2025,07:31:11,image_20250313_073111.jpg,71.38,72.99
13-03-2025,07:31:17,image_20250313_073117.jpg,71.56,72.52
13-03-2025,07:31:23,image_20250313_073123.jpg,71.62,72.37
13-03-2025,07:31:29,image_20250313_073129.jpg,71.62,72.37
13-03-2025,07:31:35,image_20250313_073135.jpg,71.59,72.45
13-03-2025,07:31:41,image_20250313_073141.jpg,71.8,71.92
13-03-2025,07:31:47,image_20250313_073147.jpg,71.73,72.09
